item_id,position,type,style,weather_temp,weather_condition
BAG_01,Bag,Small Purse,"Casual, Cute","Hot, Warm, Mild, Cold","Sunny, Cloudy, Rainy, Snow"
BAG_02,Bag,Backpack,"Casual, Athletic","Hot, Warm, Mild, Cold","Sunny, Cloudy, Rainy, Snow"
BAG_03,Bag,Tote Bag,"Casual, Beachy","Hot, Warm, Mild, Cold","Sunny, Cloudy, Rainy, Snow"
BAG_04,Bag,Formal Bag,Formal ,"Hot, Warm, Mild, Cold","Sunny, Cloudy, Rainy, Snow"
BAG_05,Bag,Beach Bag,Beachy ,"Hot, Warm, Mild, Cold","Sunny, Cloudy, Rainy, Snow"
BAG_06,Bag,Fanny Pack,Festival,"Hot, Warm, Mild, Cold","Sunny, Cloudy, Rainy, Snow"
HAT_01,Hat,Cap,Casual,"Hot, Warm",Sunny
HAT_02,Hat,Sunhat,"Casual, Cute","Hot, Warm",Sunny
HAT_03,Hat,Beanie,"Casual, Athletic",Cold,"Rainy, Snow, Cloudy"
HAT_04,Hat,Ushanka,Cute ,Cold,"Rainy, Snow, Cloudy"
HAT_05,Hat,Bandana,Festival,"Hot, Warm, Mild ","Sunny, Cloudy, Rainy"
HAT_06,Hat,Cowboy Hat,Festival,"Hot, Warm, Mild ","Sunny, Cloudy, Rainy"
ACC_01,Accessory,Sunglasses,"Casual, Cute","Hot, Warm",Sunny
ACC_02,Accessory,Scarf,"Casual, Cute, Formal",Cold,"Rainy, Snow"
ACC_03,Accessory,Gloves,"Casual, Cute, Formal, Athletic",Cold,"Rainy, Snow, Cloudy"
ACC_04,Accessory,Tie,"Formal, Cute","Hot, Warm, Mild, Cold","Sunny, Cloudy, Rainy, Snow"

